_id,name,p_id,pos,number,team,games,points,goals,assists,pv
ObjectId("5db5c95e3f0b6f443efe20e2"),Morgan Miles,1,F,99,Victoria Cougars,69,0,0,0,5
ObjectId("5db5c95e3f0b6f443efe20e3"),Korbinian Holzer,8473560,D,5,Anaheim Ducks,13,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe20e4"),Michael Del Zotto,8474584,D,44,Anaheim Ducks,16,4,1,3,1
ObjectId("5db5c95e3f0b6f443efe20e5"),Cam Fowler,8475764,D,4,Anaheim Ducks,25,13,5,8,1
ObjectId("5db5c95e3f0b6f443efe20e6"),Josh Manson,8476312,D,42,Anaheim Ducks,11,3,0,3,1
ObjectId("5db5c95e3f0b6f443efe20e7"),Hampus Lindholm,8476854,D,47,Anaheim Ducks,12,9,0,9,1
ObjectId("5db5c95e3f0b6f443efe20e8"),Brendan Guhle,8478425,D,2,Anaheim Ducks,6,3,0,3,1
ObjectId("5db5c95e3f0b6f443efe20e9"),Jacob Larsson,8478491,D,32,Anaheim Ducks,21,3,1,2,1
ObjectId("5db5c95e3f0b6f443efe20ea"),Ryan Getzlaf,8470612,F,15,Anaheim Ducks,25,19,9,10,2
ObjectId("5db5c95e3f0b6f443efe20eb"),Adam Henrique,8474641,F,14,Anaheim Ducks,20,14,8,6,2
ObjectId("5db5c95e3f0b6f443efe20ec"),Derek Grant,8474683,F,38,Anaheim Ducks,24,9,6,3,1
ObjectId("5db5c95e3f0b6f443efe20ed"),Jakob Silfverberg,8475164,F,33,Anaheim Ducks,23,18,9,9,2
ObjectId("5db5c95e3f0b6f443efe20ee"),Nicolas Deslauriers,8475235,F,20,Anaheim Ducks,11,3,1,2,1
ObjectId("5db5c95e3f0b6f443efe20ef"),Rickard Rakell,8476483,F,67,Anaheim Ducks,24,17,8,9,2
ObjectId("5db5c95e3f0b6f443efe20f0"),Devin Shore,8476913,F,29,Anaheim Ducks,12,3,0,3,1
ObjectId("5db5c95e3f0b6f443efe20f1"),Carter Rowney,8477240,F,24,Anaheim Ducks,20,6,4,2,1
ObjectId("5db5c95e3f0b6f443efe20f2"),Nick Ritchie,8477941,F,37,Anaheim Ducks,21,9,3,6,1
ObjectId("5db5c95e3f0b6f443efe20f3"),Ondrej Kase,8478131,F,25,Anaheim Ducks,19,10,3,7,1
ObjectId("5db5c95e3f0b6f443efe20f4"),Troy Terry,8478873,F,61,Anaheim Ducks,24,5,2,3,1
ObjectId("5db5c95e3f0b6f443efe20f5"),Sam Steel,8479351,F,34,Anaheim Ducks,18,9,1,8,1
ObjectId("5db5c95e3f0b6f443efe20f6"),Max Jones,8479368,F,49,Anaheim Ducks,19,5,3,2,1
ObjectId("5db5c95e3f0b6f443efe20f7"),Max Comtois,8480031,F,53,Anaheim Ducks,9,5,2,3,1
ObjectId("5db5c95e3f0b6f443efe20f8"),Ryan Miller,8468011,G,30,Anaheim Ducks,4,7,0,1,1
ObjectId("5db5c95e3f0b6f443efe20f9"),John Gibson,8476434,G,36,Anaheim Ducks,19,17,0,0,1
ObjectId("5db5c95e3f0b6f443efe20fa"),Niklas Hjalmarsson,8471769,D,4,Arizona Coyotes,4,1,1,0,1
ObjectId("5db5c95e3f0b6f443efe20fb"),Jordan Oesterle,8477851,D,82,Arizona Coyotes,15,5,0,5,1
ObjectId("5db5c95e3f0b6f443efe20fc"),Alex Goligoski,8471274,D,33,Arizona Coyotes,25,14,1,13,1
ObjectId("5db5c95e3f0b6f443efe20fd"),Jason Demers,8474218,D,55,Arizona Coyotes,10,3,0,3,1
ObjectId("5db5c95e3f0b6f443efe20fe"),Aaron Ness,8474604,D,42,Arizona Coyotes,7,1,0,1,1
ObjectId("5db5c95e3f0b6f443efe20ff"),Oliver Ekman-Larsson,8475171,D,23,Arizona Coyotes,20,9,2,7,1
ObjectId("5db5c95e3f0b6f443efe2100"),Kyle Capobianco,8478476,D,75,Arizona Coyotes,5,1,1,0,1
ObjectId("5db5c95e3f0b6f443efe2101"),Jakob Chychrun,8479345,D,6,Arizona Coyotes,25,9,5,4,1
ObjectId("5db5c95e3f0b6f443efe2102"),Brad Richardson,8470755,F,15,Arizona Coyotes,11,2,0,2,1
ObjectId("5db5c95e3f0b6f443efe2103"),Carl Soderberg,8471262,F,34,Arizona Coyotes,25,12,7,5,1
ObjectId("5db5c95e3f0b6f443efe2104"),Michael Grabner,8473546,F,40,Arizona Coyotes,23,9,6,3,1
ObjectId("5db5c95e3f0b6f443efe2105"),Phil Kessel,8473548,F,81,Arizona Coyotes,24,14,4,10,1
ObjectId("5db5c95e3f0b6f443efe2106"),Derek Stepan,8474613,F,21,Arizona Coyotes,24,9,4,5,1
ObjectId("5db5c95e3f0b6f443efe2107"),Vinnie Hinostroza,8476994,F,13,Arizona Coyotes,25,9,4,5,1
ObjectId("5db5c95e3f0b6f443efe2108"),Nick Schmaltz,8477951,F,8,Arizona Coyotes,25,19,4,15,2
ObjectId("5db5c95e3f0b6f443efe2109"),Christian Dvorak,8477989,F,18,Arizona Coyotes,23,12,6,6,1
ObjectId("5db5c95e3f0b6f443efe210a"),Christian Fischer,8478432,F,36,Arizona Coyotes,24,4,3,1,1
ObjectId("5db5c95e3f0b6f443efe210b"),Lawson Crouse,8478474,F,67,Arizona Coyotes,23,8,5,3,1
ObjectId("5db5c95e3f0b6f443efe210c"),Conor Garland,8478856,F,83,Arizona Coyotes,22,14,10,4,2
